scenario,demand_units,produced,otif,ending_backlog,backlog_unit_weeks,capacity_utilization,plan_adherence,wape,inventory_instability,inventory_stability,recovery_cost,operational_risk,stockout_component_weeks,overload_weeks
-1,442,442,1.0,0,0,0.8936170213,1.0,0.0452873303,0.1674640836,0.8565573999,0,0.0,0,0
0,471,428,0.5244161359,43,393,0.8543371522,0.9140271493,0.0858195329,0.8463889812,0.5415976862,0,0.2420905746,15,11
1,471,428,0.5817409766,43,266,0.8543371522,0.8868778281,0.0858195329,0.4919655584,0.6702567592,2592000.0,0.3994010049,15,10
2,471,453,0.6369426752,18,171,0.9050736498,0.9298642534,0.0858195329,0.4452252249,0.6919336742,780000.0,0.2050354498,20,11
3,471,428,0.804670913,43,393,0.8543371522,0.8733031674,0.0858195329,0.8577223624,0.5382935686,168000.0,0.1039993852,18,12
4,471,453,0.8832271762,18,129,0.9009819967,0.907239819,0.0858195329,0.5351279706,0.6514114909,4035000.0,0.2763577543,29,12
