scenario,demand_units,produced,otif,ending_backlog,backlog_unit_weeks,capacity_utilization,plan_adherence,wape,inventory_instability,inventory_stability,recovery_cost,operational_risk,stockout_component_weeks,overload_weeks,backlog_reduction,weighted_score,otif_utility,backlog_reduction_utility,inventory_stability_utility,recovery_cost_utility,operational_risk_utility,rank
0,471,428,0.5244161359,43,393,0.8543371522,0.9140271493,0.0858195329,0.8463889812,0.5415976862,0,0.2420905746,15,11,0.0,0.2564789046,0.0,0.0,0.0215055666,1.0,0.5325306965,5
1,471,428,0.5817409766,43,266,0.8543371522,0.8868778281,0.0858195329,0.4919655584,0.6702567592,2592000.0,0.3994010049,15,10,0.3231552163,0.3685549726,0.1597633136,0.4810606061,0.8589110898,0.3576208178,0.0,4
2,471,453,0.6369426752,18,171,0.9050736498,0.9298642534,0.0858195329,0.4452252249,0.6919336742,780000.0,0.2050354498,20,11,0.5648854962,0.6814454542,0.3136094675,0.8409090909,1.0,0.8066914498,0.6579705125,2
3,471,428,0.804670913,43,393,0.8543371522,0.8733031674,0.0858195329,0.8577223624,0.5382935686,168000.0,0.1039993852,18,12,0.0,0.5259923891,0.7810650888,0.0,0.0,0.9583643123,1.0,3
4,471,453,0.8832271762,18,129,0.9009819967,0.907239819,0.0858195329,0.5351279706,0.6514114909,4035000.0,0.2763577543,29,12,0.6717557252,0.7020907544,1.0,1.0,0.7362525675,0.0,0.4165286931,1
